transaction_id,user_id,newid,diary_newid,survey_source,payee,amount,date,day_of_week,category,family_size,has_children
md_00053,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,0.77,2022-07-07,Thursday,Savings,,
md_00054,moneydata_user,MONEYDATA,,moneydata,HOTEL ON BOOKING.C,196.24,2022-06-07,Tuesday,Travel,,
md_00055,moneydata_user,MONEYDATA,,moneydata,AMZNMKTPLACE,6.99,2022-06-07,Tuesday,Household Supplies,,
md_00056,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,0.26,2022-06-07,Tuesday,Savings,,
md_00057,moneydata_user,MONEYDATA,,moneydata,AMZNMKTPLACE,15.99,2022-05-07,Saturday,Household Supplies,,
md_00058,moneydata_user,MONEYDATA,,moneydata,AMZNMKTPLACE,2.75,2022-05-07,Saturday,Household Supplies,,
md_00059,moneydata_user,MONEYDATA,,moneydata,CLUB LLOYDS FEE,3.0,2022-04-07,Thursday,Utilities,,
md_00060,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,0.63,2022-04-07,Thursday,Savings,,
md_00061,moneydata_user,MONEYDATA,,moneydata,AMZNMKTPLACE,27.99,2022-04-07,Thursday,Household Supplies,,
md_00062,moneydata_user,MONEYDATA,,moneydata,TROPICAL SUMMER FE,240.38,2022-01-07,Friday,Entertainment,,
md_00063,moneydata_user,MONEYDATA,,moneydata,SUMUP  *LTP,6.0,2022-01-07,Friday,Other,,
md_00064,moneydata_user,MONEYDATA,,moneydata,BARCLAYS UK MTGES,981.71,2022-01-07,Friday,Utilities,,
md_00065,moneydata_user,MONEYDATA,,moneydata,NOTTM CITY COUNC,112.0,2022-01-07,Friday,Utilities,,
md_00066,moneydata_user,MONEYDATA,,moneydata,OCTOPUS ENERGY,100.0,2022-01-07,Friday,Utilities,,
md_00067,moneydata_user,MONEYDATA,,moneydata,SEVERN TRENT WATER,43.95,2022-01-07,Friday,Utilities,,
md_00068,moneydata_user,MONEYDATA,,moneydata,ESAVINGS ACCOUNT,300.0,2022-01-07,Friday,Savings,,
md_00069,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,0.17,2022-01-07,Friday,Savings,,
md_00070,moneydata_user,MONEYDATA,,moneydata,LIDL GB  NOTTINGHA,8.83,2022-06-30,Thursday,Groceries,,
md_00071,moneydata_user,MONEYDATA,,moneydata,AMAZON.CO.UK*2Y0SX,229.0,2022-06-29,Wednesday,Household Supplies,,
md_00072,moneydata_user,MONEYDATA,,moneydata,TRADING212UK,1000.0,2022-06-29,Wednesday,Savings,,
md_00073,moneydata_user,MONEYDATA,,moneydata,THE GYM LTD,19.99,2022-06-29,Wednesday,Entertainment,,
md_00074,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,0.21,2022-06-29,Wednesday,Savings,,
md_00075,moneydata_user,MONEYDATA,,moneydata,LIDL GB  NOTTINGHA,6.79,2022-06-28,Tuesday,Groceries,,
md_00076,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,2.0,2022-06-28,Tuesday,Savings,,
md_00077,moneydata_user,MONEYDATA,,moneydata,LNK TESCO HK R NOT,50.0,2022-06-27,Monday,Other,,
md_00078,moneydata_user,MONEYDATA,,moneydata,LIDL GB NOTTINGHAM,22.09,2022-06-27,Monday,Groceries,,
md_00079,moneydata_user,MONEYDATA,,moneydata,POUNDLAND LTD 1718,14.25,2022-06-27,Monday,Groceries,,
md_00080,moneydata_user,MONEYDATA,,moneydata,UBER   *TRIP,5.78,2022-06-27,Monday,Travel,,
md_00081,moneydata_user,MONEYDATA,,moneydata,IZ *LTD GROUP LIMI,4.93,2022-06-27,Monday,Home Improvement,,
md_00082,moneydata_user,MONEYDATA,,moneydata,GREGGS PLC,3.95,2022-06-27,Monday,Dining Out,,
md_00083,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,3.26,2022-06-27,Monday,Savings,,
md_00084,moneydata_user,MONEYDATA,,moneydata,HEAVENLY DESSERTS,11.9,2022-06-27,Monday,Dining Out,,
md_00085,moneydata_user,MONEYDATA,,moneydata,LIDL GB  NOTTINGHA,13.06,2022-06-27,Monday,Groceries,,
